Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
North America,Canada,Meat,Online,L,11/10/2013,941095289,12/19/2013,467,388.5,347.15,181428.27,162117.85,19310.42
Central America and the Caribbean,Costa Rica,Office Supplies,Online,H,08/13/2015,454088427,08/15/2015,6950,558.12,549.22,3878938.93,3817087.03,61851.89
Sub-Saharan Africa,Cape Verde,Snacks,Online,L,01/17/2013,277077808,02/11/2013,8667,157.94,88.15,1368904.84,763999.37,604905.47
Middle East and North Africa,Saudi Arabia,Clothes,Online,H,06/21/2014,572190436,06/24/2014,3891,107.01,34.65,416366.92,134836.75,281530.17
Europe,Germany,Personal Care,Online,M,08/30/2011,168574553,09/08/2011,2613,76.62,52.15,200202.51,136271.29,63931.22
Middle East and North Africa,Saudi Arabia,Office Supplies,Offline,H,07/25/2011,137709731,08/11/2011,1586,660.69,481.17,1047855.85,763137.38,284718.48
Australia and Oceania,Australia,Snacks,Online,M,02/09/2015,207944665,02/27/2015,5676,170.23,102.5,966232.35,581799.76,384432.59
Australia and Oceania,New Zealand,Office Supplies,Online,H,06/29/2014,695614415,07/20/2014,7917,600.06,532.87,4750667.89,4218761.49,531906.41
Europe,Montenegro,Fruits,Online,C,05/07/2012,324184334,06/05/2012,65,63.27,44.31,4112.79,2880.19,1232.6
Sub-Saharan Africa,Cape Verde,Office Supplies,Online,H,03/08/2014,272552610,03/25/2014,5893,701.58,515.11,4134391.12,3035529.69,1098861.43
Middle East and North Africa,Libya,Office Supplies,Online,M,11/22/2013,825167677,12/15/2013,8997,671.09,513.76,6037787.35,4622260.46,1415526.89
Asia,India,Baby Food,Offline,L,05/20/2016,524831618,06/03/2016,3841,162.06,85.25,622491.12,327436.53,295054.59
Australia and Oceania,New Zealand,Meat,Offline,H,11/04/2013,209174313,11/30/2013,7036,389.33,317.2,2739316.03,2231819.5,507496.53
North America,Canada,Vegetables,Offline,C,04/07/2016,698424036,05/07/2016,7575,147.15,90.72,1114696.16,687182.33,427513.82
